event,event_type,eventID,date,location,fight,fightID,weight_class,fight_duration,scheduled_rounds,result,fighter,fighterID,outcome,SigStr,StrAccuracy,SLPM,StrDef,takedown,takedownAcc,takedownDef,opp,oppID,oppOutcome,opp_SigStr,opp_StrAccuracy,opp_SLPM,opp_StrDef,opp_takedown,opp_takedownAcc,opp_takedownDef,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Royce Gracie vs Kimo Leopoldo,0026UFC,Open Weight,4.67,No Limit,Submission,Royce Gracie,graciroy01,W,2,0.333333333,0.428265525,0.333333333,0,0,0,Kimo Leopoldo,leopokim01,L,6,0.666666667,1.284796574,0.666666667,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Harold Howard vs Roland Payne,0027UFC,Open Weight,0.77,No Limit,KO/TKO,Harold Howard,howarhar01,W,9,0.75,11.68831169,0.25,0,0,0.5,Roland Payne,paynerol01,L,3,0.75,3.896103896,0.25,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Christophe Leninger vs Ken Shamrock,0028UFC,Open Weight,4.82,No Limit,KO/TKO,Ken Shamrock,shamrken01,W,8,0.888888889,1.659751037,0.5,1,1,1,Christophe Leninger,leninchr01,L,1,0.5,0.20746888,0.111111111,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 3: The American Dream,UFC,0003PPV,9/9/1994,"Charlotte, North Carolina, USA",Keith Hackney vs Emmanuel Yarborough,0029UFC,Open Weight,1.98,No Limit,KO/TKO,Keith Hackney,hacknkei01,W,34,0.68,17.17171717,0.8,0,0,1,Emmanuel Yarborough,yarboemm01,L,1,0.2,0.505050505,0.32,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Royce Gracie vs Dan Severn,0030UFC,Open Weight,15.82,No Limit,Submission,Royce Gracie,graciroy01,W,0,0,0,0.428571429,0,0,0,Dan Severn,severdan01,L,4,0.571428571,0.252844501,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Marcus Bossett vs Dan Severn,0031UFC,Open Weight,0.87,No Limit,Submission,Dan Severn,severdan01,W,0,0,0,0.5,1,1,1,Marcus Bossett,bossemar01,L,1,0.5,1.149425287,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Royce Gracie vs Keith Hackney,0032UFC,Open Weight,5.53,No Limit,Submission,Royce Gracie,graciroy01,W,11,0.47826087,1.98915009,0.692307692,0,0,1,Keith Hackney,hacknkei01,L,4,0.307692308,0.723327306,0.52173913,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Anthony Macias vs Dan Severn,0033UFC,Open Weight,1.75,No Limit,Submission,Dan Severn,severdan01,W,0,0,0,0.111111111,2,0.4,1,Anthony Macias,maciaant01,L,8,0.888888889,4.571428571,1,0,0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Melton Bowen vs Steve Jennum,0034UFC,Open Weight,4.78,No Limit,Submission,Steve Jennum,jennuste01,W,13,0.325,2.719665272,0.75,2,0.666666667,1,Melton Bowen,bowenmel01,L,1,0.25,0.209205021,0.675,0,0,0.333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Keith Hackney vs Joe Son,0035UFC,Open Weight,2.73,No Limit,Submission,Keith Hackney,hacknkei01,W,8,0.571428571,2.93040293,1,0,0,0,Joe Son,sonjoe01,L,0,0,0,0.428571429,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Ron van Clief vs Royce Gracie,0036UFC,Open Weight,3.82,No Limit,Submission,Royce Gracie,graciroy01,W,7,0.636363636,1.832460733,1,1,1,1,Ron van Clief,cliefron01,L,0,0,0,0.363636364,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 4: Revenge of the Warriors,UFC,0004PPV,12/16/1994,"Tulsa, Oklahoma, USA",Jason Fairn vs Guy Mezger,0037UFC,Open Weight,2.22,No Limit,KO/TKO,Guy Mezger,mezgeguy01,W,19,0.633333333,8.558558559,0.25,1,1,1,Jason Fairn,fairnjas01,L,9,0.75,4.054054054,0.366666667,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Royce Gracie vs Ken Shamrock,0039UFC,Open Weight,10,1,Other,Ken Shamrock,shamrken01,D,10,0.454545455,1,0.75,1,1,1,Royce Gracie,graciroy01,D,3,0.25,0.3,0.545454545,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Dave Beneteau vs Dan Severn,0038UFC,Open Weight,3.02,1,Submission,Dan Severn,severdan01,W,2,0.666666667,0.662251656,0.666666667,1,1,1,Dave Beneteau,benetdav01,L,2,0.333333333,0.662251656,0.333333333,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Dan Severn vs Oleg Taktarov,0040UFC,Open Weight,4.35,1,TKO - Doctor's Stoppage,Dan Severn,severdan01,W,9,0.529411765,2.068965517,1,1,1,1,Oleg Taktarov,taktaole01,L,0,0,0,0.470588235,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UFC 5: The Return of the Beast,UFC,0005PPV,4/7/1995,"Charlotte, North Carolina, USA",Dave Beneteau vs Todd Medina,0041UFC,Open Weight,2.2,1,KO/TKO,Dave Beneteau,benetdav01,W,8,0.615384615,3.636363636,1,1,1,1,Todd Medina,medintod01,L,0,0,0,0.384615385,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
